NestID,﻿Pasture,Pasture_patch,Pasture_patch_year,HerbYesNo,HerbTreat,GrazingYesNo,InitiationJulian,MaxKnownHosts,MaxKnownBHCO,ClutchSizeAdjust,Parasitized?
RC2 DICK 3 16,RC2,RC2_N,RC2_N_2016,Yes,SnS,No,135,4,0,4,0
RC2 DICK 5 16,RC2,RC2_N,RC2_N_2016,Yes,SnS,No,137,5,0,5,0
RC2 DICK 1 16,RC2,RC2_N,RC2_N_2016,Yes,SnS,No,137,3,0,3,0
RC2 DICK 4 16,RC2,RC2_N,RC2_N_2016,Yes,SnS,No,141,4,0,4,0
RC2 DICK 6 16,RC2,RC2_N,RC2_N_2016,Yes,SnS,No,143,5,0,5,0
RC2 DICK 9 16,RC2,RC2_C,RC2_C_2016,Yes,Spr,No,144,4,0,4,0
RC2 DICK 10 16,RC2,RC2_N,RC2_N_2016,Yes,SnS,No,144,5,0,5,0
RC2 DICK 16 16,RC2,RC2_C,RC2_C_2016,Yes,Spr,No,146,5,0,5,0
RC2 DICK 15 16,RC2,RC2_N,RC2_N_2016,Yes,SnS,No,147,4,0,4,0
RC2 DICK 11 16,RC2,RC2_N,RC2_N_2016,Yes,SnS,No,149,4,0,4,0
RC2 DICK 8 16,RC2,RC2_N,RC2_N_2016,Yes,SnS,No,152,4,0,4,0
RC2 DICK 23 16,RC2,RC2_C,RC2_C_2016,Yes,Spr,No,156,4,0,4,0
LTR DICK 2 16,LTR,LTR_E,LTR_E_2016,Yes,SnS,Yes,166,4,0,4,0
LTR DICK 3 16,LTR,LTR_C,LTR_C_2016,Yes,Spr,Yes,168,4,0,4,0
LTR DICK 5 16,LTR,LTR_C,LTR_C_2016,Yes,Spr,Yes,169,4,0,4,0
RC2 DICK 34 16,RC2,RC2_N,RC2_N_2016,Yes,SnS,No,172,4,0,4,0
LTR DICK 7 16,LTR,LTR_E,LTR_E_2016,Yes,SnS,Yes,175,4,0,4,0
RC2 DICK 21 16,RC2,RC2_N,RC2_N_2016,Yes,SnS,No,175,2,0,2,0
RC2 DICK 25 16,RC2,RC2_N,RC2_N_2016,Yes,SnS,No,178,3,0,3,0
BSH DICK 7 16,BSH,BSH_N,BSH_N_2016,No,Con,No,180,4,0,4,0
GIL DICK 5 16,GIL,GIL_C,GIL_C_2016,Yes,SnS,Yes,180,4,0,4,0
RC2 DICK 32 16,RC2,RC2_C,RC2_C_2016,Yes,Spr,No,181,4,0,4,0
RC2 DICK 26 16,RC2,RC2_N,RC2_N_2016,Yes,SnS,No,182,1,0,1,0
