ID,Order_LA,Length_mm,Category_Dummy,Category,NestID,Biomass_mg,Date Collected,OrdinalDate,﻿Pasture,Pasture_patch,Pasture_patch_year,HerbYesNo_alltime,HerbTreat_1418,GrazingYesNo
1442,orthoptera,7,1,Small,RC2 DICK 23 16,4.286681896,7/19/2016,201,RC2,RC2_C,RC2_C_2016,Yes,Spr,No
1376,orthoptera,7,1,Small,RC2 DICK 19 16,4.286681896,7/8/2016,190,RC2,RC2_C,RC2_C_2016,Yes,Spr,No
1395,orthoptera,6,1,Small,RC2 DICK 2 16,2.893389781,6/19/2016,171,RC2,RC2_C,RC2_C_2016,Yes,Spr,No
1396,orthoptera,6,1,Small,RC2 DICK 2 16,2.893389781,6/19/2016,171,RC2,RC2_C,RC2_C_2016,Yes,Spr,No
1397,orthoptera,8,1,Small,RC2 DICK 2 16,6.025605872,6/19/2016,171,RC2,RC2_C,RC2_C_2016,Yes,Spr,No
1398,orthoptera,12,1,Small,RC2 DICK 2 16,16.94468236,6/19/2016,171,RC2,RC2_C,RC2_C_2016,Yes,Spr,No
1399,orthoptera,13,1,Small,RC2 DICK 2 16,20.78149577,6/19/2016,171,RC2,RC2_C,RC2_C_2016,Yes,Spr,No
1393,orthoptera,5,1,Small,RC2 DICK 2 16,1.81758515,6/19/2016,171,RC2,RC2_C,RC2_C_2016,Yes,Spr,No
1441,orthoptera,5,1,Small,RC2 DICK 23 16,1.81758515,7/19/2016,201,RC2,RC2_C,RC2_C_2016,Yes,Spr,No
1392,orthoptera,5,1,Small,RC2 DICK 2 16,1.81758515,6/19/2016,171,RC2,RC2_C,RC2_C_2016,Yes,Spr,No
1443,orthoptera,7,1,Small,RC2 DICK 23 16,4.286681896,7/19/2016,201,RC2,RC2_C,RC2_C_2016,Yes,Spr,No
1444,orthoptera,7,1,Small,RC2 DICK 23 16,4.286681896,7/19/2016,201,RC2,RC2_C,RC2_C_2016,Yes,Spr,No
1445,orthoptera,8,1,Small,RC2 DICK 23 16,6.025605872,7/19/2016,201,RC2,RC2_C,RC2_C_2016,Yes,Spr,No
