Pasture_patch_year_transect,Year,Pasture,Visit_1,Visit_2,Visit_3,Visit_4,Visit_5,Clouds_1,Clouds_2,Clouds_3,Clouds_4,Clouds_5,Date_1_Ord,Date_2_Ord,Date_3_Ord,Date_4_Ord,Date_5_Ord,StartTime_1,StartTime_2,StartTime_3,StartTime_4,StartTime_5,Winds_1,Winds_2,Winds_3,Winds_4,Winds_5,Obs_1,Obs_2,Obs_3,Obs_4,Obs_5,Area_ha,FireTreat,TSF,TSH,HerbTreat_14-18,GrazingYesNo,HerbYesNo_alltime,GrazingTreat
BSH_N_2016,2016,BSH,2,2,1,5,1,100,0,25,0,25,149,165,180,193,209,7.5,7.316666667,6.833333333,8.766666667,7.766666667,8,0,4,4,0,SBN,JJC,SR,SBN,ACW,2,No,UNK,Never,Con,No,No,None
BSH_S_2016,2016,BSH,2,1,1,4,2,50,0,25,0,25,149,165,180,193,209,6.65,6.533333333,6.466666667,7.75,6.966666667,0,0,1,4,0,SBN,JJC,SR,SBN,ACW,2,No,UNK,1.5,SnS,No,Yes,None
BSH_C_2016,2016,BSH,1,3,1,2,3,50,0,25,0,25,149,165,180,193,209,6.983333333,6.85,6.633333333,8.2,7.283333333,1,0,1,4,0,SBN,JJC,SR,SBN,ACW,2,No,UNK,1.5,Spr,No,Yes,None
GIL_S_2016,2016,GIL,0,1,1,1,1,25,50,25,25,50,149,163,180,195,213,9.283333333,6.2,7.833333333,9.466666667,8.383333333,1,1,0,1,1,SR,JJC,ACW,SBN,JJC,2,FB,0,1.5,Con,Yes,No,IES
GIL_C_2016,2016,GIL,0,4,2,3,1,25,50,25,25,50,149,163,180,195,213,8.716666667,6.35,7.533333333,8.666666667,9.283333333,1,1,0,4,1,SR,JJC,ACW,SBN,JJC,3,FB,1,1.5,SnS,Yes,Yes,IES
GIL_N_2016,2016,GIL,0,0,0,0,0,25,50,25,25,50,149,163,180,195,213,8.8,6.733333333,7,9,8.866666667,1,1,0,4,1,SR,JJC,ACW,SBN,JJC,3,FB,1,1.5,Spr,Yes,Yes,IES
LTR_W_2016,2016,LTR,0,1,1,0,0,0,25,25,25,25,149,164,180,195,213,7.683333333,6.766666667,8.4,6.55,6.883333333,1,0,0,1,1,SR,JJC,ACW,SBN,JJC,6,FB,1,Never,Con,Yes,No,IES
LTR_E_2016,2016,LTR,0,2,4,2,3,0,25,25,25,25,149,164,180,195,213,8.283333333,7.866666667,9.333333333,7.183333333,7.366666667,1,0,0,4,1,SR,JJC,ACW,SBN,JJC,6,FB,1,1.5,SnS,Yes,Yes,IES
LTR_C_2016,2016,LTR,0,3,1,2,3,0,25,25,25,25,149,164,180,195,213,7.9,7.2,9.033333333,6.833333333,7,1,0,0,1,1,SR,JJC,ACW,SBN,JJC,5,FB,1,1.5,Spr,Yes,Yes,IES
RC2_S_2016,2016,RC2,0,0,2,0,0,0,0,25,50,50,150,164,177,196,212,6.283333333,7.1,8.116666667,9.05,8.9,0,0,4,1,0,JJC,SR,ACW,SBN,JJC,2,No,UNK,1.5,Con,No,No,None
RC2_N_2016,2016,RC2,7,3,6,5,1,0,0,25,50,50,150,164,177,196,212,7.033333333,6.816666667,8.85,9.683333333,9.566666667,0,0,4,4,0,JJC,SR,ACW,SBN,JJC,2,No,UNK,1.5,SnS,No,Yes,None
RC2_C_2016,2016,RC2,2,0,1,5,1,0,0,25,50,50,150,164,177,196,212,6.666666667,6.6,8.5,9.35,9.2,0,0,4,8,0,JJC,SR,ACW,SBN,JJC,2,No,UNK,1.5,Spr,No,Yes,None
