ID,NestID,ChicksInNest,NumberBHCO,NumberDICK,Species,TimeOfDay,OrdinalMeasured,NestlingAge,NestlingMass,NestlingResid,Pasture_Patch_Year,Pasture,Pasture_patch,HerbYesNo,HerbTreat,GrazingTreat,GrazingYesNo,TSH
28,BSH 1 16,5,2,3,DICK,15.82,171,5,9.9,0.385637718,BSH_C_2016,BSH,BSH_C,Yes,Spr,None,No,1.5
29,BSH 1 16,5,2,3,DICK,15.82,171,5,12.6,0.079908466,BSH_C_2016,BSH,BSH_C,Yes,Spr,None,No,1.5
30,BSH 1 16,5,2,3,DICK,15.82,171,5,12.4,-0.262699126,BSH_C_2016,BSH,BSH_C,Yes,Spr,None,No,1.5
32,BSH 10 16,2,1,1,DICK,15.18,204,5,13.5,1.155425503,BSH_C_2016,BSH,BSH_C,Yes,Spr,None,No,1.5
35,BSH 9 16,3,0,3,DICK,14.8,204,4,7.7,-0.300527841,BSH_S_2016,BSH,BSH_S,Yes,SnS,None,No,1.5
36,BSH 9 16,3,0,3,DICK,14.8,204,5,12.3,1.216954203,BSH_S_2016,BSH,BSH_S,Yes,SnS,None,No,1.5
37,BSH 9 16,3,0,3,DICK,14.8,204,5,11.6,0.120769204,BSH_S_2016,BSH,BSH_S,Yes,SnS,None,No,1.5
39,GIL 3 16,2,1,1,DICK,17.1,200,5,15.1,1.504866616,GIL_C_2016,GIL,GIL_C,Yes,SnS,IES,Yes,1.5
42,GIL 5 16,4,0,4,DICK,12,200,5,10,-1.763174314,GIL_C_2016,GIL,GIL_C,Yes,SnS,IES,Yes,1.5
43,GIL 5 16,4,0,4,DICK,12,200,5,11,-0.796083758,GIL_C_2016,GIL,GIL_C,Yes,SnS,IES,Yes,1.5
44,GIL 5 16,4,0,4,DICK,12,200,5,12.3,-0.406578386,GIL_C_2016,GIL,GIL_C,Yes,SnS,IES,Yes,1.5
45,GIL 5 16,4,0,4,DICK,12,200,5,10.8,-1.983367089,GIL_C_2016,GIL,GIL_C,Yes,SnS,IES,Yes,1.5
40,GIL 4 16,2,0,2,DICK,16.65,200,5,11.4,-1.525974681,GIL_S_2016,GIL,GIL_S,No,Con,IES,Yes,1.5
41,GIL 4 16,2,0,2,DICK,16.65,200,6,16.7,0.450171437,GIL_S_2016,GIL,GIL_S,No,Con,IES,Yes,1.5
22,LTR 23 15,1,0,1,DICK,18.05,221,5,13,1.763376796,LTR_C_2015,LTR,LTR_C,Yes,Spr,IES,Yes,0.5
46,LTR 2 16,3,0,3,DICK,11.93,185,5,10.9,0.957814942,LTR_E_2016,LTR,LTR_E,Yes,SnS,IES,Yes,1.5
47,LTR 2 16,3,0,3,DICK,11.93,185,5,12,-1.73487635,LTR_E_2016,LTR,LTR_E,Yes,SnS,IES,Yes,1.5
48,LTR 2 16,3,0,3,DICK,11.93,185,5,11.9,-1.793861717,LTR_E_2016,LTR,LTR_E,Yes,SnS,IES,Yes,1.5
18,LTR 22 15,4,0,4,DICK,14.97,231,5,9.4,-1.990200611,LTR_E_2015,LTR,LTR_E,Yes,SnS,IES,Yes,0.5
19,LTR 22 15,4,0,4,DICK,14.97,231,5,12.6,0.332214206,LTR_E_2015,LTR,LTR_E,Yes,SnS,IES,Yes,0.5
20,LTR 22 15,4,0,4,DICK,14.97,231,5,11,-1.596880238,LTR_E_2015,LTR,LTR_E,Yes,SnS,IES,Yes,0.5
21,LTR 22 15,4,0,4,DICK,14.97,231,5,11,0.254629023,LTR_E_2015,LTR,LTR_E,Yes,SnS,IES,Yes,0.5
49,LTR 4 16,3,0,3,DICK,19.77,188,5,12.1,0.676889945,LTR_E_2016,LTR,LTR_E,Yes,SnS,IES,Yes,1.5
50,LTR 4 16,3,0,3,DICK,19.77,188,5,10.8,-1.314208387,LTR_E_2016,LTR,LTR_E,Yes,SnS,IES,Yes,1.5
51,LTR 4 16,3,0,3,DICK,19.77,188,5,13.6,-0.080348568,LTR_E_2016,LTR,LTR_E,Yes,SnS,IES,Yes,1.5
52,LTR 7 16,4,0,4,DICK,10.5,195,5,9.9,-2.115480054,LTR_E_2016,LTR,LTR_E,Yes,SnS,IES,Yes,1.5
53,LTR 7 16,4,0,4,DICK,10.5,195,5,11.4,-1.33948783,LTR_E_2016,LTR,LTR_E,Yes,SnS,IES,Yes,1.5
54,LTR 7 16,4,0,4,DICK,10.5,195,5,12.4,-1.754593938,LTR_E_2016,LTR,LTR_E,Yes,SnS,IES,Yes,1.5
55,LTR 7 16,4,0,4,DICK,10.5,195,5,12.1,-2.263020419,LTR_E_2016,LTR,LTR_E,Yes,SnS,IES,Yes,1.5
70,RC2 23 16,2,0,2,DICK,15.88,176,5,13,0.819972724,RC2_C_2016,RC2,RC2_C,Yes,Spr,None,No,1.5
71,RC2 23 16,2,0,2,DICK,15.88,176,5,13.1,-1.361748752,RC2_C_2016,RC2,RC2_C,Yes,Spr,None,No,1.5
58,RC2 12 16,4,2,2,DICK,14.72,219,5,10.5,-0.23487635,RC2_N_2016,RC2,RC2_N,Yes,SnS,None,No,1.5
59,RC2 12 16,4,2,2,DICK,14.72,219,5,13.8,-0.354593938,RC2_N_2016,RC2,RC2_N,Yes,SnS,None,No,1.5
60,RC2 13 16,3,0,3,DICK,10,161,5,12.1,-0.047117831,RC2_N_2016,RC2,RC2_N,Yes,SnS,None,No,1.5
61,RC2 13 16,3,0,3,DICK,10,161,5,12.3,-0.329789682,RC2_N_2016,RC2,RC2_N,Yes,SnS,None,No,1.5
62,RC2 13 16,3,0,3,DICK,10,161,5,14.4,0.288810134,RC2_N_2016,RC2,RC2_N,Yes,SnS,None,No,1.5
65,RC2 14 16,4,2,2,DICK,11.68,168,6,8.3,-4.43948783,RC2_N_2016,RC2,RC2_N,Yes,SnS,None,No,1.5
66,RC2 14 16,4,2,2,DICK,11.68,168,6,10.2,-4.272718567,RC2_N_2016,RC2,RC2_N,Yes,SnS,None,No,1.5
67,RC2 17 16,2,0,2,DICK,6.34,180,5,11.4,1.283248279,RC2_N_2016,RC2,RC2_N,Yes,SnS,None,No,1.5
68,RC2 17 16,2,0,2,DICK,6.34,180,7,15.5,-0.90340597,RC2_N_2016,RC2,RC2_N,Yes,SnS,None,No,1.5
69,RC2 21 16,1,0,1,DICK,16.47,192,6,14.9,0.065277545,RC2_N_2016,RC2,RC2_N,Yes,SnS,None,No,1.5
75,RC2 30 16,2,1,1,DICK,10.33,196,5,12.7,1.123312538,RC2_N_2016,RC2,RC2_N,Yes,SnS,None,No,1.5
76,RC2 38 16,2,0,2,DICK,11.97,223,6,14.6,-2.527413746,RC2_N_2016,RC2,RC2_N,Yes,SnS,None,No,1.5
77,RC2 38 16,2,0,2,DICK,11.97,223,7,15.1,-1.939655228,RC2_N_2016,RC2,RC2_N,Yes,SnS,None,No,1.5
78,RC2 8 16,4,0,4,DICK,17.45,170,4,8.4,-0.072229877,RC2_N_2016,RC2,RC2_N,Yes,SnS,None,No,1.5
79,RC2 8 16,4,0,4,DICK,17.45,170,5,10.7,0.055746795,RC2_N_2016,RC2,RC2_N,Yes,SnS,None,No,1.5
80,RC2 8 16,4,0,4,DICK,17.45,170,5,12,-0.410393386,RC2_N_2016,RC2,RC2_N,Yes,SnS,None,No,1.5
81,RC2 8 16,4,0,4,DICK,17.45,170,5,13.9,0.35971569,RC2_N_2016,RC2,RC2_N,Yes,SnS,None,No,1.5
